name,nation,details,alias,def_country,activeplatforms
FC SEOUL,false,"{""teamAbbr""=>""FCS"", ""teamCity""=>""Seoul"", ""teamName""=>""FC Seoul"", ""teamFounded""=>""1983"", ""teamStadium""=>""Seoul Sang-am Stadium"", ""teamCapacity""=>66806, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=677""}",SEOUL,REPUBLIC OF KOREA,true,"[""PES21"",""FIFA23""]"
ROSARIO CENTRAL,false,"{""teamAbbr""=>""ROS"", ""teamCity""=>""Rosario"", ""teamName""=>""Rosario Central"", ""teamFounded""=>""1889"", ""teamStadium""=>""Gigante de Arroyito"", ""teamCapacity""=>41654, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=283""}",ROSARIO CENTRAL,ARGENTINA,true,"[""PES21"",""FIFA23""]"
MELBOURNE VICTORY,false,"{""teamAbbr""=>""MVC"", ""teamCity""=>""Melbourne"", ""teamName""=>""Melbourne Victory"", ""teamFounded""=>""2004"", ""teamStadium""=>""AAMI Park"", ""teamCapacity""=>30050, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=565""}",MELBOURNE VICTORY,AUSTRALIA,true,"[""FIFA23""]"
WESTERN SYDNEY WANDERERS,false,"{""teamAbbr""=>""WSW"", ""teamCity""=>""Sydney"", ""teamName""=>""Western Sydney Wanderers"", ""teamFounded""=>""2012"", ""teamStadium""=>""Western Sydney Stadium"", ""teamCapacity""=>30000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2058""}",WESTERN SYDNEY WANDERERS,AUSTRALIA,true,"[""FIFA23""]"
BOHEMIAN FC,false,"{""teamAbbr""=>""BOH"", ""teamCity""=>""Dublin"", ""teamName""=>""Bohemian FC"", ""teamFounded""=>""1890"", ""teamStadium""=>""Dalymount Park"", ""teamCapacity""=>4300, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=713""}",BOHEMIAN FC,IRELAND,true,"[""FIFA23""]"
OESTE FC,false,"{""teamAbbr""=>""OFC"", ""teamCity""=>""Itápolis"", ""teamName""=>""Oeste FC"", ""teamFounded""=>""1921"", ""teamStadium""=>""Estádio dos Amaros"", ""teamCapacity""=>16143, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2174""}","OESTE FC, OESTE",BRAZIL,true,"[""PES21""]"
SHONAN BELLMARE,false,"{""teamAbbr""=>""SHO"", ""teamCity""=>""Hiratsuka"", ""teamName""=>""Shonan Bellmare"", ""teamFounded""=>""1968"", ""teamStadium""=>""Hiratsuka Athletics Stadium"", ""teamCapacity""=>18500, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1592""}",SHONAN BELLMARE,JAPAN,true,"[""PES21""]"
YOKOHAMA FC,false,"{""teamAbbr""=>""YOK"", ""teamCity""=>""Yokohama"", ""teamName""=>""Yokohama FC"", ""teamFounded""=>""1998"", ""teamStadium""=>""Yokohama Mitsuzawa"", ""teamCapacity""=>15046, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1080""}",YOKOHAMA FC,JAPAN,true,"[""PES21""]"
GAMBA OSAKA,false,"{""teamAbbr""=>""GAM"", ""teamCity""=>""Osaka"", ""teamName""=>""Gamba Osaka"", ""teamFounded""=>""1991"", ""teamStadium""=>""Suita City Football Stadium"", ""teamCapacity""=>39694, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=516""}",GAMBA OSAKA,JAPAN,true,"[""PES21""]"
RAYO VALLECANO,false,"{""teamAbbr""=>""RVM"", ""teamCity""=>""Madrid"", ""teamName""=>""Rayo Vallecano"", ""teamFounded""=>""1924"", ""teamStadium""=>""Campo de Fútbol de Vallecas"", ""teamCapacity""=>15000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=1298""}","VALLECAS BR, RAYO VALLECANO",SPAIN,true,"[""PES21"",""FIFA23""]"
JEONBUK MOTORS,false,"{""teamAbbr""=>""JEO"", ""teamCity""=>""Jeonju"", ""teamName""=>""Jeonbuk Motors"", ""teamFounded""=>""1993"", ""teamStadium""=>""Jeonju Castle"", ""teamCapacity""=>43348, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=680""}",JEONBUK HYUNDAI MOTORS,REPUBLIC OF KOREA,true,"[""PES21"",""FIFA23""]"
AL TAAWOUN,false,"{""teamAbbr""=>""TAA"", ""teamCity""=>""Buraidah"", ""teamName""=>""Al Taawoun"", ""teamFounded""=>""1956"", ""teamStadium""=>""King Abdullah Sport City Stadium"", ""teamCapacity""=>25000, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=2757""}","AL TAAWOUN, AL TAAWOUN",SAUDI ARABIA,true,"[""PES21"",""FIFA23""]"
COLO-COLO,false,"{""teamAbbr""=>""CC"", ""teamCity""=>""Santiago"", ""teamName""=>""Colo Colo"", ""teamFounded""=>""1925"", ""teamStadium""=>""Monumental David Arellano"", ""teamCapacity""=>47347, ""wikipediaURL""=>""https://en.soccerwiki.org/squad.php?clubid=362""}",COLO-COLO,CHILE,true,"[""PES21"",""FIFA23""]"
